Gr Liv Area,Lot Area,Total Bsmt SF,Overall Qual,Overall Cond,Year Built,Year Remod/Add,Bedroom AbvGr,Full Bath,Half Bath,TotRms AbvGrd,Fireplaces,Garage Cars,Garage Area,Neighborhood,Central Air,Sale Condition,SalePrice
1092,1680,525.0,5,5,1971,1971,3,1,1,6,0,1.0,320.0,BrDale,Y,Normal,105500
1092,1680,525.0,6,5,1971,1971,3,1,1,6,0,1.0,264.0,BrDale,Y,Family,88000
1069,4043,1069.0,6,5,1977,1977,2,2,0,4,1,2.0,440.0,NPkVill,Y,Normal,127500
1456,2280,855.0,6,6,1975,1975,3,2,1,6,1,2.0,440.0,NPkVill,Y,Normal,149900
836,2280,836.0,7,6,1975,1975,2,1,0,4,0,1.0,308.0,NPkVill,Y,Normal,120000
1456,2280,855.0,6,5,1978,1978,3,2,1,7,1,2.0,440.0,NPkVill,Y,Normal,146000
2334,12858,1590.0,9,5,2009,2010,3,2,1,10,1,3.0,751.0,NridgHt,Y,Partial,376162
1704,11478,1704.0,8,5,2007,2008,3,2,0,7,1,3.0,772.0,NridgHt,Y,Normal,306000
1940,10159,1930.0,9,5,2009,2010,3,2,1,8,1,3.0,606.0,NridgHt,Y,Partial,395192
1544,12883,1544.0,8,5,2009,2010,3,2,0,7,0,3.0,868.0,NridgHt,Y,Partial,290941
1541,12182,1541.0,7,5,2005,2005,3,2,0,7,1,2.0,532.0,NridgHt,Y,Partial,220000
1698,11520,1698.0,9,5,2005,2005,3,2,0,7,1,3.0,730.0,NridgHt,Y,Normal,275000
1822,14122,1822.0,8,5,2005,2006,3,2,0,8,1,3.0,678.0,NridgHt,Y,Normal,259000
1535,10171,1517.0,7,5,2004,2004,3,2,0,7,0,2.0,532.0,NridgHt,Y,Normal,214000
2364,12919,2330.0,9,5,2009,2010,2,2,1,11,2,3.0,820.0,NridgHt,Y,Partial,611657
1358,6371,1358.0,7,5,2009,2010,2,2,0,6,1,2.0,484.0,NridgHt,Y,Partial,224000
2696,14300,2846.0,9,5,2003,2004,3,2,1,10,2,3.0,958.0,NridgHt,Y,Normal,500000
2250,13650,1671.0,8,5,2002,2002,3,2,1,7,1,3.0,756.0,NridgHt,Y,Normal,320000
1752,7658,1752.0,9,5,2005,2005,2,2,0,6,1,2.0,576.0,NridgHt,Y,Normal,319900
1370,7132,1370.0,8,5,2006,2006,2,2,0,6,1,2.0,484.0,NridgHt,Y,Normal,205000
1626,2628,764.0,7,5,2003,2003,2,2,1,6,0,2.0,474.0,NridgHt,Y,Normal,175500
1324,18494,1324.0,6,5,2005,2005,3,2,0,6,0,2.0,430.0,Gilbert,Y,Normal,199500
1145,3203,1145.0,7,5,2006,2006,2,2,0,6,0,2.0,437.0,Blmngtn,Y,Normal,160000
1269,3182,1256.0,8,5,2004,2005,2,2,0,6,1,2.0,430.0,Blmngtn,Y,Normal,192000
1374,13300,384.0,7,5,2004,2004,3,2,1,7,1,2.0,400.0,Gilbert,Y,Normal,184500
1960,7851,860.0,6,5,2002,2002,4,2,1,8,2,2.0,440.0,Gilbert,Y,Normal,216500
1733,8577,847.0,7,5,2004,2004,3,2,1,7,1,2.0,433.0,Gilbert,Y,Normal,185088
1430,7750,384.0,7,5,2000,2000,3,2,1,7,1,2.0,400.0,Gilbert,Y,Normal,180000
2035,9505,884.0,7,5,2001,2001,3,2,1,8,1,2.0,434.0,Gilbert,Y,Normal,222500
2599,14774,1393.0,9,5,1999,1999,4,2,1,10,1,3.0,779.0,NoRidge,Y,Normal,333168
2475,17433,1629.0,8,5,1998,1998,4,2,1,7,1,3.0,962.0,NoRidge,Y,Normal,355000
1720,10593,1720.0,7,5,1996,1996,3,2,0,7,1,2.0,527.0,NoRidge,Y,Normal,260400
2622,12256,1463.0,8,5,1994,1995,3,2,1,9,2,2.0,712.0,NoRidge,Y,Normal,325000
2270,11764,1152.0,8,7,1999,2007,4,2,1,9,1,3.0,671.0,NoRidge,Y,Normal,290000
1839,16770,1195.0,7,5,1998,1998,4,2,1,7,0,2.0,486.0,NoRidge,Y,Normal,221000
3238,14720,2033.0,8,5,1995,1996,4,2,1,9,1,3.0,666.0,NoRidge,Y,Normal,410000
1595,8987,1595.0,8,5,2005,2006,2,2,0,6,1,3.0,880.0,Somerst,Y,Normal,221500
1218,9215,1218.0,7,5,2009,2010,2,2,0,4,0,2.0,676.0,Somerst,Y,Partial,204500
1547,8640,756.0,7,5,2009,2009,3,2,1,7,0,2.0,614.0,Somerst,Y,Normal,215200
1566,9000,1566.0,8,5,2008,2008,3,2,0,7,0,2.0,750.0,Somerst,Y,Normal,262500
1947,12552,991.0,7,5,2004,2005,3,2,1,8,1,2.0,678.0,Somerst,Y,Normal,254900
1468,10440,1468.0,6,5,2005,2005,2,2,0,6,1,2.0,528.0,Somerst,Y,Normal,271500
2084,10142,956.0,7,5,2004,2004,4,2,1,8,0,2.0,618.0,SawyerW,Y,Normal,233000
1659,11920,831.0,7,5,2004,2004,3,2,1,8,0,2.0,484.0,SawyerW,Y,Normal,181000
2110,8880,948.0,7,5,1994,2002,3,2,1,8,2,2.0,463.0,SawyerW,Y,Normal,205000
923,8012,923.0,6,5,1980,1980,2,2,0,5,1,1.0,264.0,SawyerW,Y,Normal,143000
1845,11218,1055.0,6,5,1992,1992,3,2,1,8,1,2.0,462.0,SawyerW,Y,Normal,189000
918,7892,918.0,6,5,1979,1979,2,2,0,5,1,1.0,264.0,SawyerW,Y,Normal,99500
752,7175,744.0,6,5,1984,1984,2,1,0,4,0,1.0,264.0,SawyerW,Y,Normal,125000
1744,9453,996.0,7,7,1993,2003,3,2,1,7,0,2.0,457.0,SawyerW,Y,Normal,194500
1097,9672,1040.0,6,5,1984,1985,3,2,0,6,0,2.0,480.0,SawyerW,Y,Normal,152000
1564,8400,650.0,6,6,1980,1981,3,2,1,7,1,2.0,476.0,SawyerW,Y,Normal,171000
1012,9800,816.0,5,5,1920,1950,2,1,0,5,0,1.0,429.0,SawyerW,N,Normal,67500
1902,8930,0.0,6,5,1978,1978,4,2,0,8,0,2.0,539.0,Sawyer,Y,Normal,112000
1155,11782,1109.0,5,7,1961,1995,3,1,0,6,0,2.0,576.0,Sawyer,Y,Normal,148000
894,8450,894.0,5,8,1965,2009,3,1,0,5,1,1.0,336.0,Sawyer,Y,Normal,138500
900,9819,882.0,5,5,1967,1967,3,1,0,5,0,1.0,280.0,Sawyer,Y,Normal,122000
1040,7500,1040.0,5,5,1963,1963,3,1,1,5,0,1.0,308.0,Sawyer,Y,Normal,133000
1040,6897,1040.0,5,8,1962,2010,3,1,1,6,0,1.0,260.0,Sawyer,Y,Normal,127000
1494,15410,1208.0,6,6,1974,2002,3,2,0,7,2,2.0,461.0,Sawyer,Y,Abnorml,169000
1923,10186,750.0,7,5,1992,1992,3,2,1,8,1,2.0,564.0,NoRidge,Y,Normal,190000
2349,13143,1231.0,8,5,1993,1993,4,2,1,9,1,3.0,762.0,NoRidge,Y,Normal,362500
2225,11134,1390.0,8,5,1992,1993,4,2,1,7,1,3.0,713.0,NoRidge,Y,Normal,285000
1488,4835,1488.0,7,5,2004,2005,2,2,0,6,1,2.0,506.0,Somerst,Y,Normal,260000
1680,3515,840.0,7,5,2004,2004,2,2,1,3,0,2.0,588.0,Somerst,Y,Normal,190000
1200,3215,600.0,7,5,2004,2004,2,2,1,4,0,2.0,480.0,Somerst,Y,Normal,155000
1200,3182,600.0,7,5,2004,2005,2,2,1,4,0,2.0,480.0,Somerst,Y,Normal,151000
1200,2544,600.0,7,5,2004,2005,2,2,1,4,0,2.0,480.0,Somerst,Y,Normal,149500
1236,2544,600.0,6,5,2005,2005,2,2,1,4,0,2.0,480.0,Somerst,Y,Normal,152000
1478,4403,1470.0,7,5,2009,2009,2,2,1,7,1,2.0,484.0,Somerst,Y,Partial,222000
1573,2117,756.0,6,5,2000,2000,3,2,1,5,0,2.0,440.0,Somerst,Y,Normal,177500
1512,2980,756.0,6,5,2000,2000,2,2,1,5,0,2.0,440.0,Somerst,Y,Normal,177000
1416,2572,696.0,7,5,1999,1999,3,2,1,6,0,2.0,484.0,Somerst,Y,Normal,155000
1080,2403,530.0,7,5,2003,2003,2,2,1,4,0,2.0,496.0,Somerst,Y,Normal,147110
1418,12853,1642.0,8,5,2010,2010,1,1,1,6,1,3.0,852.0,Somerst,Y,Partial,267916
1848,7379,975.0,8,5,2000,2000,3,2,1,7,1,2.0,592.0,Somerst,Y,Normal,254000
788,4420,728.0,8,5,1980,1980,1,1,0,3,1,2.0,484.0,Greens,Y,Normal,155000
1226,3880,1226.0,8,6,1978,1978,1,1,0,4,1,2.0,484.0,Greens,Y,Normal,206000
1479,13517,725.0,6,8,1976,2005,3,2,1,6,0,2.0,475.0,Sawyer,Y,Normal,130500
1492,8000,1492.0,7,5,2002,2002,3,2,0,6,1,2.0,596.0,Somerst,Y,Normal,230000
1829,10456,1829.0,6,6,1967,1967,4,2,0,8,0,2.0,535.0,NWAmes,Y,Normal,218500
2495,10791,1280.0,6,5,1993,1993,4,2,1,9,1,2.0,660.0,NWAmes,Y,Normal,243500
1610,10603,1610.0,6,7,1977,2001,3,2,0,6,2,2.0,480.0,NWAmes,Y,Normal,205000
1891,18837,1224.0,6,5,1978,1978,3,3,0,7,1,2.0,678.0,NWAmes,Y,Normal,212500
1714,10421,980.0,7,5,1988,1988,3,2,1,7,1,2.0,496.0,NWAmes,Y,Normal,196500
1381,9360,1161.0,6,7,1972,2006,3,1,1,5,1,2.0,676.0,NWAmes,Y,Normal,197500
1645,9600,715.0,6,6,1971,1971,4,1,2,7,0,2.0,441.0,NWAmes,Y,Normal,171000
1232,9600,1232.0,5,5,1966,1966,3,1,1,6,0,2.0,490.0,NAmes,Y,Normal,142250
1328,9790,1328.0,6,5,1963,1963,3,1,1,6,2,2.0,528.0,NWAmes,Y,Normal,143000
1225,9320,950.0,4,5,1959,1959,3,1,1,6,0,0.0,0.0,NAmes,Y,Normal,128950
1209,9900,1209.0,5,5,1966,1966,3,1,0,6,0,2.0,504.0,NAmes,Y,Normal,159000
1510,9680,1510.0,5,6,1967,1967,3,2,0,6,0,2.0,517.0,NAmes,Y,Normal,178900
1775,10600,533.0,6,5,1964,1964,3,2,0,8,0,2.0,480.0,NAmes,Y,Family,136300
1152,14112,1152.0,5,7,1964,1964,3,1,0,6,1,2.0,484.0,NAmes,Y,Normal,180500
1054,8800,936.0,6,7,1963,1963,3,1,0,6,0,2.0,480.0,NAmes,Y,Abnorml,137500
1728,13260,1728.0,5,6,1962,2001,6,2,0,10,0,0.0,0.0,NAmes,Y,Abnorml,84900
1078,9717,1078.0,5,6,1950,1996,2,1,0,5,0,1.0,240.0,NAmes,Y,Normal,142125
2461,9724,1140.0,5,7,1952,2002,3,2,0,7,2,2.0,400.0,NAmes,Y,Normal,197600
1556,17360,782.0,6,6,1949,1950,3,2,0,6,1,2.0,470.0,NAmes,Y,Normal,172500
858,7207,858.0,5,7,1958,2008,2,1,0,4,0,0.0,0.0,BrkSide,Y,Normal,116500
1306,5350,728.0,3,2,1940,1966,3,1,0,6,0,0.0,0.0,BrkSide,Y,Normal,76500
1063,9920,1056.0,5,5,1954,1954,3,1,0,6,0,1.0,280.0,NAmes,Y,Normal,128000
1520,9600,1156.0,6,6,1955,1972,3,1,0,7,2,1.0,364.0,NAmes,Y,Normal,153000
1268,7800,1268.0,5,6,1954,1954,2,1,0,7,1,1.0,244.0,NAmes,Y,Normal,132000
1128,11380,1080.0,6,8,1966,2008,2,1,0,5,1,1.0,315.0,NAmes,Y,Normal,178000
2274,11600,1105.0,5,5,1960,1960,5,2,0,12,0,2.0,480.0,NAmes,Y,Normal,154300
2207,19900,1947.0,7,5,1970,1989,3,2,0,7,1,2.0,576.0,NAmes,Y,Normal,180000
1888,16492,1517.0,6,6,1966,2002,2,2,1,6,1,2.0,578.0,NAmes,Y,Normal,190000
1604,8267,1604.0,5,5,1958,1958,4,2,0,8,0,2.0,576.0,NAmes,Y,Normal,135000
1480,8197,1480.0,7,5,2003,2009,3,2,0,7,0,2.0,620.0,NAmes,Y,Normal,214000
1143,8050,1143.0,5,5,1959,1959,3,1,0,6,0,1.0,308.0,NAmes,Y,Normal,136000
1700,10552,1398.0,5,5,1959,1959,4,1,1,6,1,2.0,447.0,NAmes,Y,Normal,165500
1314,8400,1314.0,5,6,1957,1957,3,1,0,5,0,1.0,294.0,NAmes,Y,Normal,145000
1194,8760,1194.0,6,6,1959,1959,3,1,0,6,0,1.0,312.0,NAmes,Y,Normal,148000
1188,12160,1188.0,5,5,1959,1959,3,1,0,6,0,2.0,531.0,NAmes,Y,Abnorml,142000
1264,9300,1268.0,5,5,1960,1960,3,1,0,6,2,2.0,461.0,NAmes,Y,Normal,167500
1206,10725,1206.0,5,5,1959,1959,3,1,0,6,0,1.0,312.0,NAmes,Y,Normal,108538
1580,10032,1244.0,6,5,1959,1959,3,1,1,6,2,2.0,440.0,NAmes,Y,Normal,159500
1337,8382,832.0,4,5,1956,1956,3,1,0,5,0,1.0,263.0,NAmes,Y,Normal,108000
1064,10950,864.0,5,7,1952,1952,2,1,0,4,0,1.0,318.0,NAmes,Y,Normal,135000
972,10895,972.0,5,6,1955,1955,3,1,0,5,0,1.0,305.0,NAmes,Y,Normal,122500
988,13587,988.0,5,5,1958,1958,2,1,0,5,0,1.0,264.0,NAmes,Y,Abnorml,119000
1057,7922,1057.0,5,7,1953,2007,3,1,0,5,0,1.0,246.0,NAmes,Y,Abnorml,109000
985,7898,576.0,4,7,1920,1994,2,1,0,4,0,2.0,676.0,NAmes,Y,Normal,105000
827,7200,0.0,5,7,1955,2007,2,1,0,5,1,1.0,392.0,NAmes,Y,Normal,107500
1086,10200,1086.0,5,7,1954,2003,3,1,0,6,0,2.0,490.0,NAmes,Y,Normal,144900
936,5868,936.0,5,7,1956,2000,2,1,0,4,0,1.0,308.0,NAmes,Y,Normal,129000
1458,17503,912.0,6,5,1948,1950,3,1,0,6,1,1.0,330.0,NAmes,Y,Abnorml,97500
1056,6979,1056.0,6,5,1980,1980,0,0,0,4,0,2.0,576.0,OldTown,Y,Normal,144000
1287,9830,1063.0,5,7,1959,2006,3,1,0,7,1,2.0,576.0,NAmes,Y,Normal,162000
2978,11275,710.0,7,7,1967,2007,5,2,1,11,1,2.0,564.0,NAmes,Y,Normal,242000
1224,8064,816.0,6,8,1948,2004,3,1,0,5,0,1.0,280.0,NAmes,Y,Normal,132000
1246,7500,1246.0,5,7,1959,1994,3,1,1,6,0,1.0,305.0,NAmes,Y,Normal,154000
1385,8520,910.0,5,4,1952,1952,4,2,0,6,0,2.0,720.0,NAmes,Y,Normal,166000
900,7200,900.0,5,7,1951,2000,3,1,0,5,0,2.0,576.0,NAmes,Y,Normal,134800
1116,10000,1116.0,6,6,1962,1962,3,1,1,5,0,2.0,440.0,NAmes,Y,Normal,160000
1175,7635,1175.0,5,6,1960,1960,3,1,1,6,0,2.0,484.0,NAmes,Y,Normal,148000
1395,9760,1395.0,6,7,1963,1984,2,1,0,7,1,2.0,440.0,NAmes,Y,Normal,192000
1839,7700,756.0,6,5,1966,1966,4,1,1,7,1,2.0,442.0,NAmes,Y,Normal,155000
1844,4800,709.0,4,5,1900,1954,3,1,0,9,2,1.0,240.0,OldTown,Y,Abnorml,80400
1140,8800,576.0,4,7,1910,2004,3,1,0,7,0,0.0,0.0,OldTown,Y,Normal,96500
936,4485,936.0,5,7,1920,1950,2,1,0,5,1,0.0,0.0,OldTown,Y,Normal,109500
1028,8960,1008.0,5,6,1927,1950,2,1,0,5,1,2.0,360.0,OldTown,Y,Normal,115000
1347,5805,1347.0,5,7,1957,1957,3,1,0,6,0,2.0,551.0,OldTown,Y,Normal,143000
1605,5790,840.0,3,6,1915,1950,3,2,0,8,0,1.0,379.0,OldTown,N,Normal,107400
747,4608,747.0,4,6,1945,1950,2,1,0,4,0,1.0,220.0,OldTown,Y,Normal,80000
804,7200,788.0,5,7,1940,1992,2,1,0,4,2,1.0,240.0,OldTown,Y,Abnorml,119000
1316,5500,926.0,5,7,1929,2001,3,1,0,6,0,2.0,484.0,OldTown,Y,Normal,130000
1251,6900,827.0,6,7,1938,2000,3,1,0,6,0,1.0,240.0,OldTown,Y,Normal,119000
1633,11851,1027.0,5,7,1948,2009,3,1,0,7,1,1.0,240.0,OldTown,Y,Normal,129000
1245,8239,1008.0,5,6,1920,1962,3,1,0,6,0,1.0,315.0,OldTown,Y,Normal,100000
832,9656,678.0,2,2,1923,1970,2,1,0,5,1,2.0,780.0,OldTown,N,Abnorml,12789
720,8520,624.0,6,8,1928,2003,2,1,0,5,0,2.0,484.0,OldTown,Y,Normal,105900
1566,9600,930.0,8,9,1900,2003,3,2,0,7,0,1.0,288.0,OldTown,N,Abnorml,150000
1652,10800,686.0,5,6,1915,1950,4,2,0,7,0,1.0,416.0,OldTown,Y,Normal,139000
2268,9000,346.0,8,9,1890,2002,3,3,0,7,0,2.0,624.0,OldTown,Y,Normal,240000
2256,9045,840.0,5,3,1910,1950,4,2,0,12,0,0.0,0.0,OldTown,N,Abnorml,76500
1236,7407,912.0,6,7,1957,1996,2,1,0,6,0,2.0,923.0,OldTown,Y,Normal,149700
1363,7740,622.0,4,7,1910,1950,3,1,0,6,0,2.0,528.0,OldTown,Y,Normal,125500
2290,11340,777.0,4,6,1885,1950,4,2,0,11,0,2.0,560.0,OldTown,Y,Normal,122500
1470,10560,738.0,6,7,1922,1994,2,1,1,6,0,2.0,624.0,OldTown,Y,Normal,140750
1612,5830,988.0,5,6,1950,1997,3,1,1,7,0,1.0,363.0,BrkSide,Y,Normal,128500
2068,7793,1108.0,7,7,1922,2005,3,1,1,8,1,1.0,315.0,BrkSide,N,Normal,209500
765,5000,765.0,4,7,1925,1950,2,1,0,4,0,1.0,200.0,BrkSide,N,Normal,87000
1132,6000,608.0,6,7,1939,1950,2,1,0,5,0,1.0,240.0,BrkSide,Y,Abnorml,134000
1196,6000,572.0,6,6,1940,1950,3,1,1,6,2,2.0,576.0,BrkSide,Y,Normal,128000
1453,6360,835.0,5,6,1942,1950,3,1,1,7,2,1.0,240.0,BrkSide,Y,Normal,132000
1416,6000,780.0,6,7,1948,1950,3,1,1,6,0,1.0,312.0,BrkSide,Y,Normal,139900
1040,6240,528.0,5,7,1936,1980,2,1,0,5,0,2.0,624.0,BrkSide,Y,Normal,123900
1536,6240,928.0,5,5,1930,1950,4,2,0,7,1,2.0,480.0,BrkSide,Y,Normal,138400
1068,6120,1124.0,6,5,1923,1950,2,1,0,5,1,1.0,288.0,OldTown,Y,Normal,109500
1710,10300,576.0,7,6,1921,1950,3,2,0,9,0,2.0,480.0,OldTown,Y,Normal,140000
1962,8094,888.0,4,5,1915,1950,4,1,1,9,1,2.0,572.0,OldTown,Y,Normal,149500
1560,12900,780.0,6,8,1912,2009,3,1,1,7,0,0.0,0.0,OldTown,Y,Normal,159900
1324,3068,662.0,6,8,1920,1993,3,1,0,6,0,1.0,180.0,OldTown,Y,Normal,122000
816,8472,816.0,5,5,1963,1963,2,1,0,5,0,2.0,516.0,IDOTRR,N,Normal,110000
1092,5600,0.0,4,5,1930,1950,3,2,0,7,0,0.0,0.0,IDOTRR,N,Normal,55000
1812,7630,360.0,5,9,1900,1996,4,2,0,8,1,2.0,672.0,OldTown,Y,Normal,140000
2403,24090,1032.0,7,7,1940,1950,4,2,0,10,2,1.0,349.0,ClearCr,Y,Normal,244400
1675,15263,1422.0,5,5,1959,1959,3,2,0,8,2,1.0,365.0,ClearCr,Y,Normal,173000
1224,10632,689.0,5,3,1917,1950,3,1,1,6,0,1.0,180.0,ClearCr,N,Normal,107500
1392,9900,1212.0,5,4,1915,1950,3,1,0,6,0,0.0,0.0,SWISU,N,Normal,100000
919,6001,600.0,6,5,1940,1950,3,1,0,5,0,1.0,231.0,SWISU,N,Normal,95000
1884,6449,707.0,4,1,1907,1950,4,1,1,7,0,0.0,0.0,SWISU,N,Abnorml,93369
1680,6048,856.0,5,7,1910,1950,2,2,0,7,1,2.0,450.0,SWISU,Y,Normal,114900
1020,6342,780.0,5,8,1875,1996,2,1,0,6,0,0.0,0.0,Sawyer,N,Normal,94000
1832,10773,1832.0,4,3,1967,1967,4,2,0,8,0,0.0,0.0,Sawyer,N,Normal,136000
1768,10778,1768.0,4,5,1968,1968,4,2,0,8,0,0.0,0.0,Sawyer,N,Normal,136500
1039,11625,1039.0,5,4,1965,1965,3,1,1,6,0,2.0,504.0,Sawyer,Y,Normal,131500
1392,11341,1392.0,5,6,1957,1996,3,1,1,5,1,2.0,528.0,Sawyer,Y,Normal,121500
912,8521,912.0,5,5,1967,1967,3,1,0,5,1,1.0,336.0,Sawyer,Y,Normal,125000
1060,8246,1060.0,5,8,1968,2001,3,1,0,6,1,1.0,270.0,Sawyer,Y,Normal,154000
892,7800,864.0,5,7,1966,2008,3,1,0,5,0,1.0,416.0,Sawyer,Y,Normal,137900
1352,9364,663.0,6,7,1969,1969,4,1,1,7,0,1.0,299.0,Sawyer,Y,Normal,158000
864,7832,864.0,5,5,1968,1968,2,1,0,4,0,1.0,280.0,Sawyer,Y,Normal,137250
1373,7424,1319.0,5,5,1978,1978,3,1,0,5,2,2.0,591.0,Sawyer,Y,Normal,160250
1440,11227,720.0,5,5,1968,1968,4,1,1,7,2,2.0,480.0,Sawyer,Y,Normal,163000
1386,11616,672.0,6,5,1978,1978,3,2,1,6,1,2.0,440.0,Sawyer,Y,Abnorml,158900
2260,14000,1306.0,7,5,1996,1997,3,2,1,7,0,2.0,533.0,ClearCr,Y,Normal,328000
1483,20062,1420.0,7,7,1977,2001,1,1,1,4,2,2.0,690.0,ClearCr,Y,Normal,270000
756,9259,660.0,4,4,1927,1950,2,1,0,4,0,2.0,440.0,Sawyer,N,Normal,85000
1067,9600,1067.0,4,7,1950,1995,2,2,0,4,0,2.0,436.0,Sawyer,Y,Normal,128000
1524,23595,1332.0,7,6,1979,1979,0,0,1,4,1,2.0,586.0,ClearCr,Y,Normal,260000
1981,17082,1117.0,6,5,1978,1992,4,2,1,8,1,2.0,522.0,ClearCr,Y,Normal,230000
1610,18600,972.0,3,4,1938,1990,4,2,0,8,1,1.0,480.0,Edwards,Y,Normal,124000
835,10625,458.0,5,5,1920,1950,2,1,0,5,0,1.0,366.0,Edwards,N,Abnorml,83000
1074,11479,663.0,6,7,1950,1987,3,1,0,6,1,1.0,467.0,Edwards,Y,Normal,144500
1144,9571,1144.0,5,6,1956,1956,3,1,0,6,0,1.0,596.0,Edwards,Y,Normal,129000
1531,9350,756.0,4,6,1947,1979,3,1,0,8,1,1.0,209.0,Edwards,Y,Normal,127000
1172,9525,1172.0,5,7,1954,1998,3,1,0,5,0,1.0,366.0,Edwards,Y,Normal,128000
1212,10420,1212.0,6,5,2009,2009,3,2,0,6,0,2.0,460.0,Edwards,Y,Normal,186000
1508,17485,1508.0,7,5,2009,2010,1,1,0,5,2,2.0,572.0,Edwards,Y,Partial,308030
1298,11200,1250.0,5,3,1964,1964,3,2,0,5,0,2.0,504.0,Edwards,Y,Normal,114000
930,11100,0.0,4,7,1946,2006,2,1,0,6,0,1.0,308.0,Edwards,Y,Abnorml,84900
1732,9206,741.0,6,5,1985,1985,3,2,1,7,1,2.0,476.0,SawyerW,Y,Normal,178000
1433,11980,1433.0,7,5,1987,1987,1,1,1,4,2,2.0,528.0,SawyerW,Y,Normal,270000
1802,12361,946.0,6,7,1993,1993,3,2,1,8,1,4.0,1017.0,SawyerW,Y,Normal,218000
1949,9938,1050.0,7,5,1993,1994,3,2,1,8,1,2.0,574.0,SawyerW,Y,Normal,236000
996,9069,936.0,6,6,1992,1992,2,1,0,5,0,2.0,564.0,SawyerW,Y,Normal,147000
1694,10475,1694.0,8,5,2008,2008,3,2,0,7,0,3.0,776.0,CollgCr,Y,Normal,245350
1208,6762,1187.0,7,5,2006,2006,2,2,0,6,0,2.0,632.0,CollgCr,Y,Normal,206000
1226,10402,1226.0,7,5,2009,2009,3,2,0,6,0,3.0,740.0,CollgCr,Y,Normal,198900
1222,7360,1222.0,7,5,2010,2010,2,2,0,6,0,2.0,615.0,CollgCr,Y,Normal,187000
3222,12376,1673.0,7,5,1990,1990,5,3,0,11,2,3.0,594.0,SawyerW,Y,Normal,320000
